Ses02F_impro04_F000 frustration 4 3 4
Ses02F_impro04_F001 frustration 4 3 4
Ses02F_impro04_F002 frustration 4 4 4
Ses02F_impro04_F003 frustration 5 3 5
Ses02F_impro04_F004 frustration 5 3 5
Ses02F_impro04_F005 frustration 5 4 4
Ses02F_impro04_F006 frustration 4 2 4
Ses02F_impro04_F007 frustration 4 3 4
Ses02F_impro04_F008 frustration 5 2 5
Ses02F_impro04_F009 frustration 5 4 4
Ses02F_impro04_F010 frustration 5 4 4
Ses02F_impro04_F011 frustration 5 2 5
Ses02F_impro04_F012 frustration 4 2 4
Ses02F_impro04_F013 frustration 5 3 4
Ses02F_impro04_F014 frustration 4 3 4
Ses02F_impro04_F015 frustration 4 2 5
Ses02F_impro04_F016 frustration 5 4 3
Ses02F_impro04_F017 sadness 5 2 5
Ses02F_impro04_M000 neutral state 3 2 2
Ses02F_impro04_M001 neutral state 4 2 4
Ses02F_impro04_M002 neutral state 4 3 4
Ses02F_impro04_M003 neutral state 4 3 4
Ses02F_impro04_M004 neutral state 4 2 5
Ses02F_impro04_M005 neutral state 4 2 4
Ses02F_impro04_M006 neutral state 4 2 4
Ses02F_impro04_M007 neutral state 2 3 4
Ses02F_impro04_M008 neutral state 4 3 4
Ses02F_impro04_M009 neutral state 4 3 4
Ses02F_impro04_M010 neutral state 4 2 4
Ses02F_impro04_M011 neutral state 3 2 4
Ses02F_impro04_M012 neutral state 2 2 5
Ses02F_impro04_M013 neutral state 2 2 4
Ses02F_impro04_M014 neutral state 4 2 2
Ses02F_impro04_M015 neutral state 2 2 4
Ses02F_impro04_M016 neutral state 3 3 3
Ses02F_impro04_M017 neutral state 3 3 4
Ses02F_impro04_M018 neutral state 4 2 4
Ses02F_impro04_M019 neutral state 4 3 3
Ses02F_impro04_M020 neutral state 4 4 3
