Ses01F_impro05_F000 frustration 2 4 2
Ses01F_impro05_F001 frustration 4 3 3
Ses01F_impro05_F002 frustration 4 4 4
Ses01F_impro05_F003 frustration 4 3 4
Ses01F_impro05_F004 frustration 4 2 4
Ses01F_impro05_F005 frustration 4 2 4
Ses01F_impro05_F006 frustration 4 3 3
Ses01F_impro05_F007 frustration 4 2 4
Ses01F_impro05_F008 frustration 4 3 4
Ses01F_impro05_F009 anger 4 3 4
Ses01F_impro05_F010 frustration 4 1 4
Ses01F_impro05_F011 anger 4 1 4
Ses01F_impro05_F012 anger 4 2 4
Ses01F_impro05_F013 frustration 5 3 4
Ses01F_impro05_F014 frustration 5 2 5
Ses01F_impro05_F015 anger 5 1 5
Ses01F_impro05_F016 anger 5 1 5
Ses01F_impro05_F017 anger 5 1 5
Ses01F_impro05_F018 anger 5 2 5
Ses01F_impro05_F019 anger 5 2 5
Ses01F_impro05_F020 anger 5 1 5
Ses01F_impro05_F021 anger 5 1 5
Ses01F_impro05_F022 anger 5 1 5
Ses01F_impro05_F023 anger 5 3 5
Ses01F_impro05_F024 anger 5 3 5
Ses01F_impro05_F025 anger 5 1 5
Ses01F_impro05_F026 anger 5 2 5
Ses01F_impro05_F027 frustration 5 3 5
Ses01F_impro05_F028 frustration 5 3 5
Ses01F_impro05_F029 anger 5 2 4
Ses01F_impro05_F030 anger 5 2 4
Ses01F_impro05_M000 neutral state 2 3 3
Ses01F_impro05_M001 neutral state 2 3 3
Ses01F_impro05_M002 neutral state 2 3 3
Ses01F_impro05_M003 neutral state 2 3 3
Ses01F_impro05_M004 neutral state 2 4 3
Ses01F_impro05_M005 neutral state 2 3 3
Ses01F_impro05_M006 neutral state 2 3 3
Ses01F_impro05_M007 neutral state 2 3 3
Ses01F_impro05_M008 neutral state 3 3 3
Ses01F_impro05_M009 neutral state 4 3 3
Ses01F_impro05_M010 neutral state 4 3 3
Ses01F_impro05_M011 neutral state 4 3 3
Ses01F_impro05_M012 neutral state 4 4 2
Ses01F_impro05_M013 neutral state 4 4 2
Ses01F_impro05_M014 neutral state 4 3 2
Ses01F_impro05_M015 neutral state 4 4 2
Ses01F_impro05_M016 neutral state 4 3 2
Ses01F_impro05_M017 neutral state 4 3 3
Ses01F_impro05_M018 neutral state 3 2 3
Ses01F_impro05_M019 neutral state 4 4 3
Ses01F_impro05_M020 neutral state 4 4 3
Ses01F_impro05_M021 neutral state 4 3 2
Ses01F_impro05_M022 neutral state 4 4 3
Ses01F_impro05_M023 neutral state 4 2 2
Ses01F_impro05_M024 neutral state 4 3 2
Ses01F_impro05_M025 neutral state 4 3 2
Ses01F_impro05_M026 neutral state 4 3 3
Ses01F_impro05_M027 neutral state 4 3 2
Ses01F_impro05_M028 neutral state 4 3 2
Ses01F_impro05_M029 neutral state 4 3 3
Ses01F_impro05_M030 neutral state 3 3 2
Ses01F_impro05_M031 neutral state 3 3 3
Ses01F_impro05_M032 surprise 3 3 3
Ses01F_impro05_M033 surprise 4 3 3
Ses01F_impro05_M034 neutral state 4 4 3
Ses01F_impro05_M035 neutral state 4 4 2
