Ses03M_impro08b_F000 frustration 4 4 4
Ses03M_impro08b_F001 frustration 5 2 5
Ses03M_impro08b_F002 frustration 5 2 5
Ses03M_impro08b_F003 frustration 4 3 4
Ses03M_impro08b_F004 frustration 5 1 5
Ses03M_impro08b_F005 frustration 5 2 5
Ses03M_impro08b_F006 frustration 5 3 4
Ses03M_impro08b_F007 frustration 5 2 5
Ses03M_impro08b_F008 frustration 5 2 5
Ses03M_impro08b_F009 frustration 5 2 4
Ses03M_impro08b_F010 frustration 4 3 5
Ses03M_impro08b_F011 frustration 5 2 5
Ses03M_impro08b_F012 frustration 4 2 4
Ses03M_impro08b_F013 frustration 5 2 5
Ses03M_impro08b_F014 frustration 4 2 4
Ses03M_impro08b_F015 frustration 5 2 4
Ses03M_impro08b_F016 frustration 4 3 2
Ses03M_impro08b_F017 neutral state 4 2 5
Ses03M_impro08b_F018 neutral state 4 2 4
Ses03M_impro08b_F019 neutral state 3 2 5
Ses03M_impro08b_F020 neutral state 4 3 4
Ses03M_impro08b_F021 neutral state 4 2 3
Ses03M_impro08b_F022 neutral state 4 3 4
Ses03M_impro08b_F023 neutral state 3 3 3
Ses03M_impro08b_F024 neutral state 2 3 3
Ses03M_impro08b_M000 neutral state 3 2 3
Ses03M_impro08b_M001 neutral state 3 2 3
Ses03M_impro08b_M002 neutral state 4 3 3
Ses03M_impro08b_M003 neutral state 3 3 3
Ses03M_impro08b_M004 neutral state 4 3 3
Ses03M_impro08b_M005 neutral state 3 3 4
Ses03M_impro08b_M006 neutral state 4 3 4
Ses03M_impro08b_M007 neutral state 3 3 3
Ses03M_impro08b_M008 neutral state 4 3 3
Ses03M_impro08b_M009 neutral state 3 4 2
Ses03M_impro08b_M010 neutral state 3 2 4
Ses03M_impro08b_M011 neutral state 3 2 3
Ses03M_impro08b_M012 neutral state 3 3 4
Ses03M_impro08b_M013 neutral state 3 3 3
Ses03M_impro08b_M014 neutral state 3 3 4
Ses03M_impro08b_M015 neutral state 4 2 5
Ses03M_impro08b_M016 neutral state 3 2 3
Ses03M_impro08b_M017 neutral state 3 3 3
Ses03M_impro08b_M018 neutral state 3 3 3
Ses03M_impro08b_M019 neutral state 3 2 4
Ses03M_impro08b_M020 neutral state 3 3 3
Ses03M_impro08b_M021 neutral state 3 3 3
Ses03M_impro08b_M022 neutral state 3 2 4
